,State_abb,youth_pov_prop_est,unemployment,prop_health_insurance,prop_educ_bach,elem_size,second_size,salary,prop_latino_youth_pov,prop_asian_youth_pov,prop_black_youth_pov,prop_american_indian_youth_pov,prop_white_youth_pov,prop_other_youth_pov,violent_crime_per_100K,homicide_per_100K,raped_revised_per_100K,robbery_per_100K,aggravated_assault_per_100K,property_crime_per_100K,burgulary_per_100K,larceny_per_100K,motor_vehicle_theft_per_100K,percent_latino_youth_pov,percent_black_youth_pov,cpi
34,ND,10.9,23268.02086,91.38027429,30.75698316,17.824,19.152,51618,NA,NA,NA,0.45,0.06,NA,282.4507135,1.324194625,53.76230177,24.23276163,203.1314554,2205.181309,390.2401559,1581.61806,233.3230929,NA,NA,1.02138662
35,OH,18.1,584316.5777,91.50190036,28.6526338,21.329,26.686,57000,0.34,0.13,0.42,NA,0.14,0.34,296.8159903,6.352810398,50.00802032,96.22664496,144.2285146,2405.297472,493.1444088,1734.548718,177.6043458,34,42,1.02138662
36,OK,19.7,189328.9267,84.34658206,25.37446818,20.677,23.653,45245,0.3,NA,0.4,0.27,0.15,0.24,457.428089,6.179055291,56.45062859,76.4626307,318.3357744,2888.924488,731.0356402,1844.715001,313.1738476,30,40,1.02138662
37,OR,13.6,197598.5253,89.57595319,31.78020173,26.367,30.024,61631,0.24,0.14,NA,NA,0.14,0.16,280.447172,2.532199937,48.03945023,59.66345375,170.2120681,2954.812048,419.9834466,2124.419282,410.4093193,24,NA,1.02138662
38,PA,16.5,694372.0768,92.04401504,32.02624812,22.41,25.218,65863,0.36,0.12,0.33,NA,0.11,0.24,312.9679518,5.801204602,32.96210054,92.07653181,182.1281148,1644.320953,249.6003463,1293.41844,101.3021672,36,33,1.02138662
39,RI,16.5,55041.55911,91.9511199,34.44325626,NA,NA,66477,0.35,NA,NA,NA,0.08,NA,234.1725304,1.98772156,42.97264706,44.86571521,144.3464466,1759.133581,304.6893191,1313.978605,140.4656569,35,NA,1.02138662
40,SC,19.9,247611.2576,86.74942998,27.31039709,19.101,25.957,48598,0.38,NA,0.37,NA,0.12,NA,506.0922457,7.567883416,51.30228337,77.35173471,369.8703442,3193.806126,620.6660176,2288.906339,284.2337687,38,37,1.02138662
41,SD,14.9,25842.52364,89.7028923,29.07964587,20.433,22.26,42668,NA,NA,NA,0.57,0.09,NA,429.7561166,3.091770623,65.84326326,30.23064609,330.5904366,1899.492263,324.6359154,1406.755633,168.1007139,NA,NA,1.02138662
42,TN,19.4,316306.7952,88.25353671,26.89337496,17.719,26.949,48456,0.34,NA,0.37,NA,0.15,0.22,654.9612345,8.019325083,45.13478876,117.2639971,484.5431235,2951.767486,578.6285881,2096.293313,276.8455851,34,37,1.02138662
43,TX,19.2,1295974.911,80.74867136,28.66429291,18.171,26.882,52575,0.29,0.1,0.26,0.2,0.09,0.17,437.7546123,4.960682268,51.32275975,113.4071989,268.0639714,2553.226091,471.204793,1842.220858,239.80044,29,26,1.02138662
44,UT,9.6,105210.7057,88.02420412,32.0181452,27.35,31.54,47244,0.22,0.14,NA,NA,0.08,0.1,242.1757729,2.384698229,56.65269577,48.27402632,134.8643526,2777.883406,379.6181776,2093.217209,305.0480194,22,NA,1.02138662
45,VT,10.8,20318.41692,94.7129537,37.2484714,16.572,19.758,60187,NA,NA,NA,NA,0.14,NA,173.2516713,2.722068772,40.67090989,16.01216925,113.8465234,1495.376486,311.4366919,1147.912413,36.02738081,NA,NA,1.02138662
46,VA,13.3,348712.7025,89.3309924,38.46630289,20.42,23.773,51049,0.19,0.06,0.28,NA,0.09,0.14,210.4024154,5.5521383,35.7463202,51.16236378,117.9415932,1801.668878,218.8251274,1462.598611,120.2451399,19,28,1.02138662
47,WA,12,389433.9664,90.18741704,33.7141016,23.731,29.681,54147,0.25,0.13,0.29,NA,0.09,0.14,302.7837303,3.043593962,44.44185874,72.53450035,182.7637772,3167.573281,588.3428735,2183.7652,395.4652066,25,29,1.02138662
48,WV,20.8,111354.8881,90.37884052,21.36549989,18.704,23.985,45701,NA,NA,NA,NA,0.24,NA,361.2452726,5.393363301,43.64221529,37.03809696,275.171597,1791.91744,415.8943517,1206.187178,169.8359097,NA,NA,1.02138662
49,WI,13.5,232091.0458,92.81031129,30.29363599,20.771,27.881,54998,0.27,0.16,0.36,NA,0.09,0.23,321.7858406,3.314887939,37.58599501,75.44823069,205.436727,1811.240958,303.3467765,1344.39424,163.4999416,27,36,1.02138662
50,WY,11.7,30842.9444,87.23437785,26.45217478,17.037,19.633,58650,NA,NA,NA,0.3,0.1,NA,234.5690528,2.418237657,43.7010091,16.9276636,171.5221424,1818.514718,268.7698425,1418.296386,131.4484898,NA,NA,1.02138662
,,,,,,,,,,,,,,,,,,,,,,,,,,1.02138662
